Country Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Population 
Afghanistan;60797;234;2654;6;53694;4449;1124;1533;67;410805;10357;39662579
India;20658234;382691;226169;3786;16938400;3493665;8944;14847;163;293310779;210800;1391419959
Brazil;14860812;69378;411854;3025;13442996;1005962;8318;69498;1926;46439030;217175;213831876
France;5680378;24371;105387;247;4717330;857661;5504;86862;1612;77243683;1181180;65395336
Turkey;4929118;28997;41527;336;4554037;333554;3452;57920;488;48229733;566726;85102402
Russia;4839514;7770;111535;337;4457044;270935;2300;33150;764;130200000;891859;145987270
UK;4423796;1946;127543;4;4234772;61481;185;64878;1871;159657232;2341478;68186507
Italy;4059815;9110;121738;305;3524194;413883;2423;67230;2016;59552161;986179;60386756
Spain;3544945;4515;78399;106;3222697;243849;2292;75795;1676;47213067;1009472;46770061
Germany;3448182;12305;84285;265;3061500;302397;5049;41045;1003;55490413;660523;84009837
Argentina;3047417;26238;65202;410;2717458;264757;5389;66910;1432;11435298;251078;45544796
Colombia;2919805;14551;75627;463;2737757;106421;6006;56873;1473;15060360;293351;51339078
Poland;2808055;2299;68133;28;2536931;202991;2609;74264;1802;14490193;383221;37811614
Iran;2575737;20150;73219;344;2022586;479932;5461;30340;862;16379357;192933;84896558
Mexico;2349900;1027;217345;112;1872375;260180;4798;18066;1671;6659184;51196;130072243
Ukraine;2088410;2472;44916;166;1689630;353864;177;47997;1032;9487141;218037;43511624
Peru;1818689;4562;62674;299;1720665;35350;2657;54521;1879;11348411;340203;33357747
Indonesia;1686373;4369;46137;188;1541149;99087;;6111;167;14867701;53877;275956555
Czechia;1636843;2218;29464;32;1569552;37827;458;152609;2747;18816612;1754342;10725740
South Africa;1586148;1187;54511;59;1509656;21981;546;26463;909;10739813;179184;59937240
Netherlands;1524527;7725;17221;32;1284957;222349;821;88806;1003;12762141;743418;17166850
Canada;1249950;6693;24396;54;1142854;82700;1456;32876;642;32009489;841897;38020682
Chile;1219064;3249;26696;37;1155630;36738;3303;63314;1386;13273297;689367;19254323
Iraq;1086141;6143;15608;42;971793;98740;579;26505;381;9484523;231452;40978427
Philippines;1067870;5661;17622;97;984081;66167;750;9637;159;11987562;108184;110806740
Romania;1059331;994;28474;94;1000451;30406;1190;55378;1489;8305578;434184;19129172
Belgium;996896;1334;24322;31;873183;99391;825;85702;2091;12642980;1086901;11632138
Sweden;995596;7043;14124;1;817785;163687;407;98066;1391;8798383;866638;10152313
Israel;838697;76;6369;2;831090;1238;93;91187;692;14275737;1552117;9197590
Portugal;837715;258;16981;4;797901;22833;87;82358;1669;10677767;1049763;10171594
Pakistan;837523;3377;18310;161;733062;86151;5326;3731;82;11965682;53302;224488668
Hungary;784837;726;28045;137;532990;223802;549;81418;2909;5438145;564144;9639632
Bangladesh;765596;1914;11705;61;695032;58859;1119;4610;70;5540394;33362;166069827
Jordan;715703;1530;8955;30;694427;12321;729;69564;870;6763398;657384;10288355
Serbia;694473;1304;6456;24;648438;39579;138;79755;741;3869214;444347;8707632
Switzerland;665585;1633;10667;12;596403;58515;221;76434;1225;7001299;804015;8707920
Austria;624595;1394;10291;31;593684;20620;459;69018;1137;32895293;3634962;9049695
Japan;608285;5423;10420;59;534836;63029;1083;4822;83;12053709;95551;126149387
Lebanon;529205;748;7368;23;472133;49704;513;77829;1084;4041816;594418;6799614
UAE;527266;1699;1598;2;507706;17962;;52775;160;44853814;4489482;9990867
Morocco;512285;373;9038;6;499089;4158;159;13742;242;6292326;168793;37278402
Saudi Arabia;421300;999;7006;14;404707;9587;1356;11945;199;17166028;486716;35269120
Malaysia;420632;3120;1574;23;387542;31516;338;12858;48;9658427;295233;32714546
Bulgaria;406192;367;16609;61;342226;47357;637;58833;2406;2541572;368119;6904204
Ecuador;391242;3196;18863;98;329582;42797;614;21896;1056;1307198;73158;17868040
Slovakia;383609;381;11855;48;364902;6852;306;70234;2171;2683618;491336;5461874
Panama;365619;320;6248;4;355499;3872;105;83631;1429;2421904;553984;4371796
Belarus;362594;697;2582;10;353081;6931;;38383;273;5902915;624865;9446699
Nepal;351005;7587;3417;55;287790;59798;;11868;116;2537295;85788;29576449
Greece;349936;1368;10668;81;315808;23460;783;33712;1028;8210960;791035;10380023
Croatia;336918;1396;7264;46;318621;11033;259;82500;1779;1836108;449601;4083862
Kazakhstan;330071;2076;3762;29;281708;44601;221;17404;198;10307341;543477;18965538
Azerbaijan;322761;963;4597;17;296875;21289;;31593;450;3279163;320980;10216091
Tunisia;314152;1405;11016;101;266696;36440;529;26349;924;1333567;111852;11922647
Georgia;313742;788;4183;20;295458;14101;;78776;1050;4235464;1063465;3982701
Bolivia;308984;1423;13035;14;254683;41266;83;26170;1104;1195045;101217;11806815
Palestine;298921;718;3296;13;277673;17952;129;57477;634;1754630;337383;5200703
Paraguay;286667;2214;6722;69;237276;42669;553;39781;933;1121160;155583;7206191
Kuwait;279085;1253;1601;11;262582;14902;207;64549;370;2360837;546033;4323618
Dominican Republic;268070;389;3504;5;229368;35198;204;24505;320;1413746;129234;10939432
Ethiopia;259354;541;3772;15;202679;52903;822;2210;32;2593729;22103;117346420
Costa Rica;257980;1304;3310;20;206319;48351;408;50257;645;1010785;196909;5133266
Denmark;254482;809;2491;1;242159;9832;43;43805;429;39704750;6834571;5809399
Moldova;251504;126;5869;19;241553;4082;198;62469;1458;998125;247917;4026045
Lithuania;251464;1057;3978;17;226595;20891;202;93477;1479;2859326;1062904;2690107
Ireland;250672;382;4908;2;233242;12522;38;50294;985;4559235;914743;4984172
Slovenia;242790;907;4273;4;228829;9688;143;116772;2055;1186020;570427;2079179
