"","artist_name","track_name","lyrics"
"1","Rita Ora","How To Be Lonely - Bomba Estéreo Remix","he told me that he loved me more than mostthat he could be the onetotake me homebutam i good enough tobe theeverything that he could want?he told me that he loved me more than mostbeen lookin for a non-material lovesoon as i find it ill be fuckin it up break it uplike i aint made a mess here often enoughnot enough not enough not enough not enough no no nowill no one ever show me how to be lonely?end up on my own almost every nighti must be the onlyfeeling like losing youll show me how to be lonelyaint nobody can hold me like the way you hold meend up on my own almost every nighti must be the onlyfeeling like losing youll show me how to be lonelyoh oh oh oh ohoh oh oh oh ohoh oh ohfeeling like losing youll show me how to be lonelybut am i good enough totell you that i love you more than most?that you could be the one to take me home?but am i good enough toto give you everything that you will hold?in truth im being honest i dont knowbeen lookin for a non-material lovesoon as i find it ill be fuckin it up break it uplike i aint made a mess here often enoughnot enough not enough not enough not enough no no nowill no one ever show me how to be lonely?end up on my own almost every nighti must be the onlyfeeling like losing youll show me how to be lonelyoh oh oh oh ohoh oh oh oh ohoh oh ohfeeling like losing youll show me how to be lonelybut am i good enough tohmmyeah yeahwill no one ever show me how to be lonely?end up on my own almost every nighti must be the onlyfeeling like losing youll show me how to be lonelyaint nobody can hold me i like the way you hold meend up on my own almost every nighti must be the onlyfeeling like losing youll show me how to be lonelyoh oh oh oh ohoh oh oh oh oh lonelyoh oh ohfeeling like losing youll show me how to be lonelyoh oh oh oh oh be lonelyoh oh oh oh oh be lonelyoh oh ohfeeling like losing youll show me how to be lonely"
"2","Kendrick Lamar","War Is My Love","look inside my eyes and tell me you see a warriori never felt the feeling of euphoriapain forever or prolong the pros and cons of prosperity is strongwake up in the morning and i gotta winnot taking the victory thats my only sinand so i send a message to your messengera warning shot to let em know im seriousim ready for a war when i roar it can break a glass windowthe only thing for sure the perfect way to bend youon your back even if i gotta slither through the cracksi can crack every code you deliver i attackevery hole where the bomb squad sit it on the tripodeven if you try hard he can still die hardrun but you cant hide white flagsyou can pull em out fast and tell me your last goodbyei will i will climb the highest mountainbefore the flood comesand all my fight is drowning in bloodwhat i got to lose? what i got to prove?i guess war is my lovemake sure your next move is slick your best move is nothingyou know i take risk dark clouds i love itcause i can hide in the mist hop outand crush every soldier youre with so im 6 for 6im sick with determination ill terminate ya quicki lead the pack i follow no rulesi see the traps i know youre close tofalling on your face unload reloadhand me another case explode explodethe fire of my eyes is waiting on your demisei know you hope your help is close byi will i will climb the highest mountainbefore the flood comesand all my fight is drowning in bloodwhat i got to lose? what i got to prove?i guess war is my love"
"3","Justin Bieber","Christmas Eve","its a holiday yeahspend it with you babyi think that im in love this christmas yeahjust hanging stockings on the fireplaceyou know that santas coming to townim the one who wants to take you on a sleigh ride nowso todays all about cupid the mistletoe can pull us closerits what im waiting for it sorta feels like its valentines valentinesso land on top of your roof them sleigh bells is ringingill be up all night with you them carols are singingjapan to peru baby me and youthis christmas evebe my date this christmas evebe my holiday my dreamlay your head on me i got you babe whoa whoakissing underneath the treei dont need no presents girl youre everything i needlet me give you all of me each yeartogether on this christmas eveyou leave some cookies out imma eat em allnobody can see me but you its so magical oh-ohwhen we use imagination we can fly to never-neverlandneverlandthe north pole aint that cold if you wanna go i got you baby girlbe my date this christmas evebe my holiday my dreamlay your head on me i got you babe whoa whoakissing underneath the treei dont need no presents girl youre everything i needlet me give you all of me each yeartogether on this christmas evebe my be my christmas evebe be be be my be my christmas christmasbe be be be my be my christmas evebe be i promise i wont do you wrongbe my date this christmas eve be my babybe my holiday my dream oh whoalay your head on me i got you babe whoa no no oh nokissing underneath the tree i just want you right herei dont need no presents girl youre everything i need oh-ohlet me give you all of me each yeartogether on this christmas evebe my be my christmas evebe be be be my be my christmas christmasbe be be be my be my christmas evebe be"
"4","Steve Aoki","Ladi Dadi","dim the lightsso you cant see meclose your mouthdont speak just feel mecloser we becometogether we will fall than were onethis night this nightwe give ourselves one nightthe mood is setthe food is eatinthe time is rightfor love its beatinga little bit of talk a little bit of pleasurea little bit of makin out and than we work it outa little somokey-smoke tell me a dirty jokeup on your roof up on your roofand we dont need nobody to have a little partyits just us two just us twoand we dont need nobody cause we go ladi dadijust us two me and you me and youtwo two two two yeah yeah yeah yeahfeel the kissand smile so softlywere just friendsbut i like you slightlywe wont cross the linewell go on proper takes some timejust a boy and a girljust us two in a worldthe mood is setthe food is eatinthe time is rightfor love its beatinga little bit of talk a little bit of pleasurea little bit of makin out and than we work it outa little somokey-smoke tell me a dirty jokeup on your roof up on your roofand we dont need nobody to have a little partyits just us two just us twoand we dont need nobody cause we go ladi dadijust us two me and you me and youtake a walk with meand well go dancing in the rainand baby well run under a treeill look at you youll look at mea little bit of talk a little bit of pleasurea little bit of makin out and than we work it outa little somokey-smoke tell me a dirty jokeup on your roof up on your roofand we dont need nobody to have a little partyits just us two just us twoand we dont need nobody cause we go ladi dadijust us two me and you me and you"
"6","Lana Del Rey","God Bless America - And All The Beautiful Women In It","take me as i am take me baby in strideonly you can save me tonighttheres nowhere to run nowhere to hideyou let me in dont leave me out or leave me dryeven when im alone im not lonelyi hear the sweetest melodies sweetest melodieson the fire escapes of the citysounds like i am free its got me singingod bless america and all the beautiful women in itgod bless america and all the beautiful women in itmay you stand proud and strong like lady liberty shinin all night longgod bless americatake me as i am dont see me for what im notonly you can hear me tonightkeep your light on babe i might be standin outsideyou let me in dont leave me out or leave me dryeven walkin alone im not worriedi feel your arms all around me arms around mein the air on the streets of the cityfeels like i am free its got me thinkingod bless america and all the beautiful women in itgod bless america and all the beautiful women in itmay you stand proud and strong like lady liberty shinin all night longgod bless americasweetest melodieseven with you ive got no one to loseso youd better believe that nobody can make me feel lonelybecause i hear sweetest melodieseven when you talk that talk with the lights oni still somehow know that ill never feel ever feel lonelyi have no fear its got me thinkin yeahgod bless america and all the beautiful women in itgod bless america and all the beautiful people in itmay they stand proud and strong like lady liberty shinin all night longgod bless america and all the beautiful people in itand all the beautiful people in it"
"7","Bruno Mars","Count On Me","oh-oh-ohif you ever find yourself stuck in the middle of the seaill sail the world to find youif you ever find yourself lost in the dark and you cant seeill be the light to guide youfind out what were made ofwhen we are called to help our friends in needyou can count on me like 1 2 3ill be thereand i know when i need iti can count on you like 4 3 2and youll be therecause thats what friends are supposed to do oh yeahooh-ooh-ooh-ooh-oohooh-ooh-ooh-ooh-oohooh yeah yeahif youre tossin and youre turninand you just cant fall asleepill sing a song beside youand if you ever forget how much you really mean to meevery day i will remind you ohfind out what were made ofwhen we are called to help our friends in needyou can count on me like 1 2 3ill be thereand i know when i need iti can count on you like 4 3 2and youll be therecause thats what friends are supposed to do oh yeahooh-ooh-ooh-ooh-oohooh-ooh-ooh-ooh-oohooh yeah yeahyoull always have my shoulder when you cryill never let gonever say goodbyeyou knowyou can count on me like 1 2 3ill be thereand i know when i need iti can count on you like 4 3 2and youll be therecause thats what friends are supposed to do oh yeahooh-ooh-ooh-ooh-oohooh-ooh-ooh-ooh-oohoohyou can count on me cause i can count on you"
"12","SZA","Doves In The Wind (feat. Kendrick Lamar)","real niggas do not deserve pussymeaning its more you see right through wallsaint talkin about pussymeaning you deserve the whole box of chocolatescome with me forrest gump had a lot goin for himnever without pussy yknow jenny almost gave it all up for himnever even pushed for the pussywheres forrest now when you need him?talk to me talk to me hey ayy heyattention all you niggas all you bitchessit back and relax your mind just ride just ridesit back and relax youll find just why just whysit back relax just ease your mind just rideride ride ride rideyou are now watching madtvniggasll lose they mind for it wine for it dine for itpussyspend time for it see no colored line for itpussydouble back handicap and go blind for itpussypussy got endless prisoners pussy always revengin herpussy is calculating and good pussy is rather dangerouspussy can be so facetious the heavyweight champpussy is so undefeated lets amen to thati mean the pump fakes on the facebooksand the screw face when the bae lookwont get you no pussyi mean the fake chains and the code namesfor insecure gon reassure you not to get pussyyou overcompensate too much for the pussyyou like to throw all kinda shade for the pussysee thats what pussy niggas doi know the ways of a pussy i see pussy lookin at youhow many niggas get mistaken for clitoris in a day?how many sentiments you make before runnin pussy away?how many times she gotta tell you that dick is disposable?but if she fuck a young nigga like me its over for yousolána middle fingers up speak your truthyou could never trivialize pussybut a bum nigga like you would try it pussyi know what you really bouthigh key your beep is weak buddyits only replaced by a rubber substitutewe aint feelin youi think i caught a vibe kinda feel a niggayou could touch the booty if you like i aint trippin on yasuch a nice girl szaim really tryna crack off on the headboardand bust it wide open for the right oneis you that for me?cause if you that for melike doves in the wind hey heypussy like doves in the wind hey heypussy like doves in the windi will make you beg for iti wanna see you crawlattention all you niggas all you bitchesill give you all of me and i wont stop not a little bitsit back and relax your mind just ride just ridemake you beg for it i wanted to do it allsit back and relax youll find just why just whyunfortunately you couldnt get your shit togethersit back relax just ease your mind just rideride ride ride rideyou are now watching madtvwe take things and my influence so far and then its out of my hands and yknow while as i said it can be scary it can also be a little bit comforting because ive learned that when i get to that point and i can acknowledge okay audrey thats as much as you can do i can actually let it go"
"14","Twenty One Pilots","The Hype - Alt Mix","sometimes i feel cold even paralyzedmy interior world needs to sanitizeive got to step through or ill dissipateill record my step through for my basement tapesnice to know my kind will be on my sidei dont believe the hypeand you know youre a terrible sightbut youll be just finejust dont believe the hypeyeah they might be talking behind your headyour exterior world can step off insteadit might take some friends and a warmer shirtbut you dont get thick skin without getting burntnice to know my kind will be on my sidei dont believe the hypeand you know youre a terrible sightbut youll be just finejust dont believe the hypetake me with youwere gonna rely pretty heavilyon technologyand energyto cover up the fact that were only two peoplebut i think we can do itno i dont know which way im goingbut i can hear my way aroundno i dont know which way im goingbut i can hear my way aroundno i dont know which way im goingbut i can hear my way aroundno i dont know which way im goingbut i can hear my way aroundbut i can hear my way aroundnice to know my kind will be on my sidei dont believe the hypeand you know youre a terrible sightbut youll be just finejust dont believe the hypedont believe the hypenice to know my kind will be on my sidei dont believe the hypeand you know youre a terrible sightbut youll be just finejust dont believe the hypenice to know my kind will be on my sidei dont believe the hypeand you know youre a terrible sightbut youll be just finejust dont believe the hype"
"15","Rita Ora","Radioactive","palms to the skywe uniteim feeling im feeling it feel-feeling itwe rise tonighthey take a look at youhey take a look at youim checking you out in your sweet desireim coming over to make you mineits a crime boy youre so fineim taking you out boy its a green lightim glad you came over it was about timeit feels right boy youre so finethis clubs radioactivedrop the ball let me feel the beatthis goes radioactivedrop the ball let me feel the beatpalms to the skyuniteim feeling im feeling it feel-feeling itwe rise tonightpalms to the skywe uniteim feeling im feeling it feel-feeling itwe rise tonightmoving on me as the world endsthis nuclear heat is a beautiful airyou might not live to telltell tell tellthis clubs radioactivedrop the ball let me feel the beatthis goes radioactivedrop the ball let me feel the beatpalms to the skyuniteim feeling im feeling it feel-feeling itwe rise tonightpalms to the skywe uniteim feeling im feeling it feel-feeling itwe rise tonighthey take a look at youpalms to the sky you you you and ipalms to the sky you you you and ipalms to the sky you you you and iwe rise tonightpalms to the skyuniteim feeling im feeling it feel-feeling itwe rise tonightpalms to the skywe uniteim feeling im feeling it feel-feeling itwe rise tonightwe uniteyou and i are right tonightwe uniteyou and i are right tonightwe uniteyou and i are right tonightyou and i are right tonight"
"16","Ellie Goulding","Your Biggest Mistake","take coversigns dont showyou drove me off the roadbut you let gobecause your hope is goneand every question fades awayits a shame you dont know what youre running fromwould your bones have to break and your lights turn off?will it take the end of time to hear your hearts false start?you know this is your biggest mistakewhat a waste what a waste what a wasteand of all the things you never explainedyou know this is your biggest mistakeyou tread waterfighting for the air in your lungsmove move closermaybe you can right all your wrongsbut you let gobecause your hope is goneand every answer fades awayits a shame you dont know what youre running fromwould your bones have to break and your lights turn off?will it take the end of time to hear your hearts false start?you know this is your biggest mistakewhat a waste what a waste what a wasteand of all the things you never explainedyou know this is your biggest mistakewipe the mud spray from your facestop the engine and stop pretendingwipe the mud spray from your facestop the engine yeah stop pretendingthat youre still breathingits a shame you dont know what youre running fromwould your bones have to break and your lights turn off?will it take the end of time to hear your hearts false start?you know this is your biggest mistakewhat a waste what a waste what a wasteand of all the things you never explainedyou know this is your biggest mistake"
